STOCK REPORT 02.08.2019,,,,,,,
№,STOCK CODE,STOCK NAME,STOCK BEGINNING OF DAY,OUTPUT QUANTITY,REMAINING QUANTITY,UNIT,CAN BE MADE (MC)
TÜTÜN (Tobacco),,,,,,,
1,XAM-TTN-NS-006,VN-1 GRADE-1,22227.48,0,22227.48,KİLOGRAM,8019
2,J4J7-WNKX-3CF5-W3Q6,Axle,68606,0,68606,KİLOGRAM,24750
3,XAM-TTN-NS-005,MN-1 GRADE-1,68983,0,68983,KİLOGRAM,20289
4,XAM-TTN-NS-002,WNT-LT-GRADE-2,24635,0,24635,KİLOGRAM,7246
5,XAM-TTN-NS-007,WNT-P GRADE-2,48405,0,48405,KİLOGRAM,14237
6,XAM-TTN-NS-011,WNK GRADE ,24900,0,24900,KİLOGRAM,7324
7,XAM-TTN-NS-012,KNT GRADE,24900,0,24900,KİLOGRAM,7324
8,XAM-TTN-NS-013,NS WANT SILVER (BESLENMİŞ),5507.8,0,5507.8,KİLOGRAM,1620
9,XAM-TTN-NS-014,NS WANT BLACK (BESLENMİŞ),2666.52,0,2666.52,KİLOGRAM,784
10,XAM-TTN-NS-015,NS WANT BLUE (BESLENMİŞ),2730.1,0,2730.1,KİLOGRAM,803
11,XAM-TTN-NS-016,NS KENO RED (BESLENMİŞ),988.2,0,988.2,KİLOGRAM,291
12,XAM-TTN-NS-017,NS WANT WHITE (BESLENMİŞ),373.6,0,373.6,KİLOGRAM,110
FİLTER (Filter Rods),,,,,,,
1,XAM-BOX-NS-003,DUAL COMBİNED FİLTER ROADS 108X5.35,1996,0,1996,TRAY,7585
2,XAM-BOX-NS-004,DUAL ACETATE CHARCOAL 108MM,0,0,0,BOX,0
3,XAM-BOX-NS-005,DUAL FİLTER ROADS12000 CU GAGARIN,4478,0,4478,TRAY,17017
4,XAM-BOX-NS-002,MONO ACETATE 108X5.35,1449,0,1449,TRAY,5506
5,XAM-BOX-NS-001,NANO MONO 108X5.35X380 MM ,132.8,0,132.8,BOX,2523
6,XAM-BOX-NS-006,MONO ACETATE 6000 CU  YURİ Q,40,0,40,TRAY,152
7,XAM-BOX-NS-007,DUAL FİLTER ROADS 24000 CU GAGARIN,1956,0,1956,TRAY,7433
8,XAM-BOX-NS-009,HOLLOW NANO FILTER 108 35X380 MM,611.8,0,611.8,BOX,11625
FİLTER KAĞIZI (Tipping Paper),,,,,,,
1,XAM-FKG-NS-001,WANT BLACK 64MM*3000,453.8,0,453.8,BOBİN,14293
3,XAM-FKG-NS-003,WANT SİLVER 64MM*3000,472.2,0,472.2,BOBİN,14872
4,XAM-FKG-NS-004,WANT BLUE 64MM*3000,623.25,0,623.25,BOBİN,19630
5,XAM-FKG-NS-005,KENO RED 64MM*3000,120.7,0,120.7,BOBİN,3802
6,XAM-FKG-NS-006,KENO BLACK 64MM*3000,302.8,0,302.8,BOBİN,9537
7,XAM-FKG-NS-007,WANT BLACK 64MM*3000 - QARA,259.7,0,259.7,BOBİN,8180
8,XAM-FKG-NS-008,WANT WHITE 64MM*3000,357.6,0,357.6,BOBİN,11263
9,XAM-FKG-NS-009,WANT NANO RED X-LINE  64MM*3000M,382,0,382,BOBİN,12031
10,XAM-FKG-NS-010,WANT NANO BLUE  X-LINE  64MM*3000M,371,0,371,BOBİN,11685
11,XAM-FKG-NS-011,FINE NANO BLUE  64MM*3000M,192,0,192,BOBİN,6047
12,XAM-FKG-NS-012,FINE NANO SUNSET 64MM*3000M,192,0,192,BOBİN,6047
PAÇKA (Blank),,,,,,,
1,XAM-PCK-NS-003,WANT BLACK,5072000,0,5072000,ƏDƏD,10144
2,XAM-PCK-NS-001,WANT SILVER,2206900,0,2206900,ƏDƏD,4414
3,XAM-PCK-NS-002,WANT BLUE,5410100,0,5410100,ƏDƏD,10820
4,XAM-PCK-NS-004,KENO BLACK,2329500,0,2329500,ƏDƏD,4659
5,XAM-PCK-NS-005,KENO RED,202200,0,202200,ƏDƏD,404
6,XAM-PCK-NS-007,WANT WHITE,2200800,0,2200800,ƏDƏD,4402
7,XAM-PCK-NS-008,WANT BLACK  NANO PAÇKA (EXPORT),702000,0,702000,ƏDƏD,1404
8,XAM-PCK-NS-009,WANT SILVER NANO PAÇKA (EXPORT),781200,0,781200,ƏDƏD,1562
9,XAM-PCK-NS-010,WANT BLUE  NANO PAÇKA (EXPORT),900000,0,900000,ƏDƏD,1800
10,XAM-PCK-NS-011,KENO NANO RED PAÇKA (EXPORT),505500,0,505500,ƏDƏD,1011
11,XAM-PCK-NS-012,KENO NANO BLUE  PAÇKA (EXPORT),498200,0,498200,ƏDƏD,996
12,XAM-PCK-NS-013,WANT WHITE NANO PAÇKA (EXPORT),488800,0,488800,ƏDƏD,978
13,XAM-PCK-NS-014,WANT NANO RED X-LINE PACKA LOCAL,987400,0,987400,ƏDƏD,1975
14,XAM-PCK-NS-015,WANT NANO BLUE X-LINE PACKA LOCAL,1004900,0,1004900,ƏDƏD,2010
KARTON YAXALIQ (Card Reel),,,,,,,
1,XAM-KRT-NS-003,CRD 75MM*650M WANT BLACK,518.1,0,518.1,BOBİN,18650
2,XAM-KRT-NS-001,CRD 75MM*650M WANT SİLVER,451.2,0,451.2,BOBİN,16242
3,XAM-KRT-NS-002,CRD 75MM*650M WANT BLUE,556.1,0,556.1,BOBİN,20018
